title,paragraph,gold_label
A Room with a View,"They began to sort their clothes for packing, for there was no time to lose, if they were to catch the train to Rome. Lucy, when admonished, began to move to and fro between the rooms, more conscious of the discomforts of packing by candlelight than of a subtler ill. Charlotte, who was practical without ability, knelt by the side of an empty trunk, vainly endeavouring to pave it with books of varying thickness and size. She gave two or three sighs, for the stooping posture hurt her back, and, for all her diplomacy, she felt that she was growing old. The girl heard her as she entered the room, and was seized with one of those emotional impulses to which she could never attribute a cause. She only felt that the candle would burn better, the packing go easier, the world be happier, if she could give and receive some human love. The impulse had come before to-day, but never so strongly. She knelt down by her cousin’s side and took her in her arms.",high
A Room with a View,"“I haven’t had a really good education, for one thing,” she continued, still on her knees by the sideboard. “My Italian trip came too late, and I am forgetting all that I learnt there. I shall never be able to talk to your friends, or behave as a wife of yours should.”",none
A Room with a View,"“Very much,” he replied, but there was a note of offence in his voice; she had never known him offended before. He added: “We find, though, that the Miss Alans were coming, and that we have turned them out. Women mind such a thing. I am very much upset about it.”",low
A Room with a View,"Lunch was a cheerful meal. Generally Lucy was depressed at meals. Some one had to be soothed—either Cecil or Miss Bartlett or a Being not visible to the mortal eye—a Being who whispered to her soul: “It will not last, this cheerfulness. In January you must go to London to entertain the grandchildren of celebrated men.” But to-day she felt she had received a guarantee. Her mother would always sit there, her brother here. The sun, though it had moved a little since the morning, would never be hidden behind the western hills. After luncheon they asked her to play. She had seen Gluck’s Armide that year, and played from memory the music of the enchanted garden—the music to which Renaud approaches, beneath the light of an eternal dawn, the music that never gains, never wanes, but ripples for ever like the tideless seas of fairyland. Such music is not for the piano, and her audience began to get restive, and Cecil, sharing the discontent, called out: “Now play us the other garden—the one in Parsifal.”",high
A Room with a View,"Then he lit another cigarette, which did not seem quite as divine as the first, and considered what might be done to make Windy Corner drawing-room more distinctive. With that outlook it should have been a successful room, but the trail of Tottenham Court Road was upon it; he could almost visualize the motor-vans of Messrs. Shoolbred and Messrs. Maple arriving at the door and depositing this chair, those varnished book-cases, that writing-table. The table recalled Mrs. Honeychurch’s letter. He did not want to read that letter—his temptations never lay in that direction; but he worried about it none the less. It was his own fault that she was discussing him with his mother; he had wanted her support in his third attempt to win Lucy; he wanted to feel that others, no matter who they were, agreed with him, and so he had asked their permission. Mrs. Honeychurch had been civil, but obtuse in essentials, while as for Freddy—“He is only a boy,” he reflected. “I represent all that he despises. Why should he want me for a brother-in-law?”",high
A Room with a View,"They had gathered round George, who beckoned, she felt, over the rubbish, the sloppy thoughts, the furtive yearnings that were beginning to cumber her soul. Her anger faded at the sight of him. Ah! The Emersons were fine people in their way. She had to subdue a rush in her blood before saying:",high
A Room with a View,"The old man’s face saddened, and he touched her gently with his hand. This did not alarm her; she thought that her advice had impressed him and that he was thanking her for it. Indeed, he no longer alarmed her at all; she regarded him as a kind thing, but quite silly. Her feelings were as inflated spiritually as they had been an hour ago esthetically, before she lost Baedeker. The dear George, now striding towards them over the tombstones, seemed both pitiable and absurd. He approached, his face in the shadow. He said:",high
A Room with a View,"“And a Cockney, besides!” said Lucy, who had been further saddened by the Signora’s unexpected accent. “It might be London.” She looked at the two rows of English people who were sitting at the table; at the row of white bottles of water and red bottles of wine that ran between the English people; at the portraits of the late Queen and the late Poet Laureate that hung behind the English people, heavily framed; at the notice of the English church (Rev. Cuthbert Eager, M. A. Oxon.), that was the only other decoration of the wall. “Charlotte, don’t you feel, too, that we might be in London? I can hardly believe that all kinds of other things are just outside. I suppose it is one’s being so tired.”",low
A Room with a View,"“I wish Miss Lavish would tell me herself. We started such friends. But I don’t think she ought to have run away with Baedeker that morning in Santa Croce. Charlotte was most annoyed at finding me practically alone, and so I couldn’t help being a little annoyed with Miss Lavish.”",high
A Room with a View,"A very wet afternoon at the Bertolini permitted her to do the thing she really liked, and after lunch she opened the little draped piano. A few people lingered round and praised her playing, but finding that she made no reply, dispersed to their rooms to write up their diaries or to sleep. She took no notice of Mr. Emerson looking for his son, nor of Miss Bartlett looking for Miss Lavish, nor of Miss Lavish looking for her cigarette-case. Like every true performer, she was intoxicated by the mere feel of the notes: they were fingers caressing her own; and by touch, not by sound alone, did she come to her desire.",low
A Room with a View,"It was ordinary water, nor was there very much of it, and, as Freddy said, it reminded one of swimming in a salad. The three gentlemen rotated in the pool breast high, after the fashion of the nymphs in Götterdämmerung. But either because the rains had given a freshness or because the sun was shedding a most glorious heat, or because two of the gentlemen were young in years and the third young in spirit—for some reason or other a change came over them, and they forgot Italy and Botany and Fate. They began to play. Mr. Beebe and Freddy splashed each other. A little deferentially, they splashed George. He was quiet: they feared they had offended him. Then all the forces of youth burst out. He smiled, flung himself at them, splashed them, ducked them, kicked them, muddied them, and drove them out of the pool.",low
A Room with a View,"The best obtainable. Certainly many of the immigrants were rather dull, and Lucy realized this more vividly since her return from Italy. Hitherto she had accepted their ideals without questioning—their kindly affluence, their inexplosive religion, their dislike of paper-bags, orange-peel, and broken bottles. A Radical out and out, she learnt to speak with horror of Suburbia. Life, so far as she troubled to conceive it, was a circle of rich, pleasant people, with identical interests and identical foes. In this circle, one thought, married, and died. Outside it were poverty and vulgarity for ever trying to enter, just as the London fog tries to enter the pine-woods pouring through the gaps in the northern hills. But, in Italy, where any one who chooses may warm himself in equality, as in the sun, this conception of life vanished. Her senses expanded; she felt that there was no one whom she might not get to like, that social barriers were irremovable, doubtless, but not particularly high. You jump over them just as you jump into a peasant’s olive-yard in the Apennines, and he is glad to see you. She returned with new eyes.",high
A Room with a View,"He gave her a sense of deities reconciled, a feeling that, in gaining the man she loved, she would gain something for the whole world. Throughout the squalor of her homeward drive—she spoke at once—his salutation remained. He had robbed the body of its taint, the world’s taunts of their sting; he had shown her the holiness of direct desire. She “never exactly understood,” she would say in after years, “how he managed to strengthen her. It was as if he had made her see the whole of everything at once.”",high
A Room with a View,"At tea a misfortune took place: a cup of coffee was upset over Lucy’s figured silk, and though Lucy feigned indifference, her mother feigned nothing of the sort but dragged her indoors to have the frock treated by a sympathetic maid. They were gone some time, and Cecil was left with the dowagers. When they returned he was not as pleasant as he had been.",none
A Room with a View,"The Miss Alans did go to Greece, but they went by themselves. They alone of this little company will double Malea and plough the waters of the Saronic gulf. They alone will visit Athens and Delphi, and either shrine of intellectual song—that upon the Acropolis, encircled by blue seas; that under Parnassus, where the eagles build and the bronze charioteer drives undismayed towards infinity. Trembling, anxious, cumbered with much digestive bread, they did proceed to Constantinople, they did go round the world. The rest of us must be contented with a fair, but a less arduous, goal. Italiam petimus: we return to the Pension Bertolini.",high
A Room with a View,"Lucy—to descend from bright heaven to earth, whereon there are shadows because there are hills—Lucy was at first plunged into despair, but settled after a little thought that it did not matter the very least. Now that she was engaged, the Emersons would scarcely insult her and were welcome into the neighbourhood. And Cecil was welcome to bring whom he would into the neighbourhood. Therefore Cecil was welcome to bring the Emersons into the neighbourhood. But, as I say, this took a little thinking, and—so illogical are girls—the event remained rather greater and rather more dreadful than it should have done. She was glad that a visit to Mrs. Vyse now fell due; the tenants moved into Cissie Villa while she was safe in the London flat.",high
A Room with a View,"She marched cheerfully to the fountain and back, and did a few calculations in realism. Then she said that she had been in the Piazza since eight o’clock collecting material. A good deal of it was unsuitable, but of course one always had to adapt. The two men had quarrelled over a five-franc note. For the five-franc note she should substitute a young lady, which would raise the tone of the tragedy, and at the same time furnish an excellent plot.",none
A Room with a View,"“Well, if they are coming—No, Minnie, not Saturn.” Saturn was a tennis-ball whose skin was partially unsewn. When in motion his orb was encircled by a ring. “If they are coming, Sir Harry will let them move in before the twenty-ninth, and he will cross out the clause about whitewashing the ceilings, because it made them nervous, and put in the fair wear and tear one.—That doesn’t count. I told you not Saturn.”",none
A Room with a View,"Accordingly they drifted through a series of those grey-brown streets, neither commodious nor picturesque, in which the eastern quarter of the city abounds. Lucy soon lost interest in the discontent of Lady Louisa, and became discontented herself. For one ravishing moment Italy appeared. She stood in the Square of the Annunziata and saw in the living terra-cotta those divine babies whom no cheap reproduction can ever stale. There they stood, with their shining limbs bursting from the garments of charity, and their strong white arms extended against circlets of heaven. Lucy thought she had never seen anything more beautiful; but Miss Lavish, with a shriek of dismay, dragged her forward, declaring that they were out of their path now by at least a mile.",high
A Room with a View,"Some complicated game had been playing up and down the hillside all the afternoon. What it was and exactly how the players had sided, Lucy was slow to discover. Mr. Eager had met them with a questioning eye. Charlotte had repulsed him with much small talk. Mr. Emerson, seeking his son, was told whereabouts to find him. Mr. Beebe, who wore the heated aspect of a neutral, was bidden to collect the factions for the return home. There was a general sense of groping and bewilderment. Pan had been amongst them—not the great god Pan, who has been buried these two thousand years, but the little god Pan, who presides over social contretemps and unsuccessful picnics. Mr. Beebe had lost everyone, and had consumed in solitude the tea-basket which he had brought up as a pleasant surprise. Miss Lavish had lost Miss Bartlett. Lucy had lost Mr. Eager. Mr. Emerson had lost George. Miss Bartlett had lost a mackintosh square. Phaethon had lost the game.",low
A Room with a View,"“I taught him,” he quavered, “to trust in love. I said: ‘When love comes, that is reality.’ I said: ‘Passion does not blind. No. Passion is sanity, and the woman you love, she is the only person you will ever really understand.’” He sighed: “True, everlastingly true, though my day is over, and though there is the result. Poor boy! He is so sorry! He said he knew it was madness when you brought your cousin in; that whatever you felt you did not mean. Yet”—his voice gathered strength: he spoke out to make certain—“Miss Honeychurch, do you remember Italy?”",low
A Room with a View,"They hurried home through a world of black and grey. He conversed on indifferent topics: the Emersons’ need of a housekeeper; servants; Italian servants; novels about Italy; novels with a purpose; could literature influence life? Windy Corner glimmered. In the garden, Mrs. Honeychurch, now helped by Freddy, still wrestled with the lives of her flowers.",none
A Room with a View,"“Poor Lucy—” She stretched out her hand. “I seem to bring nothing but misfortune wherever I go.” Lucy nodded. She remembered their last evening at Florence—the packing, the candle, the shadow of Miss Bartlett’s toque on the door. She was not to be trapped by pathos a second time. Eluding her cousin’s caress, she led the way downstairs.",low
A Room with a View,"“I hope you will excuse me for boring on like this,” Miss Lavish concluded. “It is so tempting to talk to really sympathetic people. Of course, this is the barest outline. There will be a deal of local colouring, descriptions of Florence and the neighbourhood, and I shall also introduce some humorous characters. And let me give you all fair warning: I intend to be unmerciful to the British tourist.”",none
A farewell to arms,"The priest was young and blushed easily and wore a uniform like the rest of us but with a cross in dark red velvet above the left breast pocket of his gray tunic. The captain spoke pidgin Italian for my doubtful benefit, in order that I might understand perfectly, that nothing should be lost.",none
A farewell to arms,"“Take him back with the others,” the first officer said. They took me down behind the line of officers below the road toward a group of people in a field by the river bank. As we walked toward them shots were fired. I saw flashes of the rifles and heard the reports. We came up to the group. There were four officers standing together, with a man in front of them with a carabiniere on each side of him. A group of men were standing guarded by carabinieri. Four other carabinieri stood near the questioning officers, leaning on their carbines. They were wide-hatted carabinieri. The two who had me shoved me in with the group waiting to be questioned. I looked at the man the officers were questioning. He was the fat gray-haired little lieutenant-colonel they had taken out of the column. The questioners had all the efficiency, coldness and command of themselves of Italians who are firing and are not being fired on.",none
A farewell to arms,"Catherine went along the lake to the little hotel to see Ferguson and I sat in the bar and read the papers. There were comfortable leather chairs in the bar and I sat in one of them and read until the barman came in. The army had not stood at the Tagliamento. They were falling back to the Piave. I remembered the Piave. The railroad crossed it near San Dona going up to the front. It was deep and slow there and quite narrow. Down below there were mosquito marshes and canals. There were some lovely villas. Once, before the war, going up to Cortina D’Ampezzo I had gone along it for several hours in the hills. Up there it looked like a trout stream, flowing swiftly with shallow stretches and pools under the shadow of the rocks. The road turned off from it at Cadore. I wondered how the army that was up there would come down. The barman came in.",low
A farewell to arms,"We got into Milan early in the morning and they unloaded us in the freight yard. An ambulance took me to the American hospital. Riding in the ambulance on a stretcher I could not tell what part of town we were passing through but when they unloaded the stretcher I saw a market-place and an open wine shop with a girl sweeping out. They were watering the street and it smelled of the early morning. They put the stretcher down and went in. The porter came out with them. He had gray mustaches, wore a doorman’s cap and was in his shirt sleeves. The stretcher would not go into the elevator and they discussed whether it was better to lift me off the stretcher and go up in the elevator or carry the stretcher up the stairs. I listened to them discussing it. They decided on the elevator. They lifted me from the stretcher. “Go easy,” I said. “Take it softly.”",none
A farewell to arms,I went back to the major’s dugout and he said the field kitchen would be along and the drivers could come and get their stew. He would loan them mess tins if they did not have them. I said I thought they had them. I went back and told the drivers I would get them as soon as the food came. Manera said he hoped it would come before the bombardment started. They were silent until I went out. They were all mechanics and hated the war.,none
A farewell to arms,"“Don’t bet too much. But I can sing though. It’s damned funny, but I can. I like to sing. Listen.” He roared into “Africana,” his neck swelling, the veins standing out. “I can sing,” he said. “Whether they like it or not.” I looked out of the window. “I’ll go down and let my cab go.”",none
A farewell to arms,"Miss Gage brought a pitcher of water and a glass. I drank three glasses and then they left me and I looked out the window a while and went back to sleep. I ate some lunch and in the afternoon Miss Van Campen, the superintendent, came up to see me. She did not like me and I did not like her. She was small and neatly suspicious and too good for her position. She asked many questions and seemed to think it was somewhat disgraceful that I was with the Italians.",low
A farewell to arms,Miss Gage looked. They had me look in a glass. The whites of the eyes were yellow and it was the jaundice. I was sick for two weeks with it. For that reason we did not spend a convalescent leave together. We had planned to go to Pallanza on Lago Maggiore. It is nice there in the fall when the leaves turn. There are walks you can take and you can troll for trout in the lake. It would have been better than Stresa because there are fewer people at Pallanza. Stresa is so easy to get to from Milan that there are always people you know. There is a nice village at Pallanza and you can row out to the islands where the fishermen live and there is a restaurant on the biggest island. But we did not go.,none
A farewell to arms,"“I couldn’t be any happier,” I said. A fat gray cat with a tail that lifted like a plume crossed the floor to our table and curved against my leg to purr each time she rubbed. I reached down and stroked her. Catherine smiled at me very happily. “Here comes the coffee,” she said.",low
A farewell to arms,"“The dirty scum,” Piani said. We were all cutting twigs and branches. Everything had been taken out of the car. Bonello was digging out in front of the wheels. When we were ready Aymo started the car and put it into gear. The wheels spun round throwing brush and mud. Bonello and I pushed until we could feel our joints crack. The car would not move.",none
A farewell to arms,"I took a good room. It was very big and light and looked out on the lake. The clouds were down over the lake but it would be beautiful with the sunlight. I was expecting my wife, I said. There was a big double bed, a _letto matrimoniale_ with a satin coverlet. The hotel was very luxurious. I went down the long halls, down the wide stairs, through the rooms to the bar. I knew the barman and sat on a high stool and ate salted almonds and potato chips. The martini felt cool and clean.",low
A farewell to arms,"In the ward at the field hospital they told me a visitor was coming to see me in the afternoon. It was a hot day and there were many flies in the room. My orderly had cut paper into strips and tied the strips to a stick to make a brush that swished the flies away. I watched them settle on the ceiling. When he stopped swishing and fell asleep they came down and I blew them away and finally covered my face with my hands and slept too. It was very hot and when I woke my legs itched. I waked the orderly and he poured mineral water on the dressings. That made the bed damp and cool. Those of us that were awake talked across the ward. The afternoon was a quiet time. In the morning they came to each bed in turn, three men nurses and a doctor and picked you up out of bed and carried you into the dressing room so that the beds could be made while we were having our wounds dressed. It was not a pleasant trip to the dressing room and I did not know until later that beds could be made with men in them. My orderly had finished pouring water and the bed felt cool and lovely and I was telling him where to scratch on the soles of my feet against the itching when one of the doctors brought in Rinaldi. He came in very fast and bent down over the bed and kissed me. I saw he wore gloves.",low
A farewell to arms,"I went along the narrow road down toward the river, left the car at the dressing station under the hill, crossed the pontoon bridge, which was protected by a shoulder of the mountain, and went through the trenches in the smashed-down town and along the edge of the slope. Everybody was in the dugouts. There were racks of rockets standing to be touched off to call for help from the artillery or to signal with if the telephone wires were cut. It was quiet, hot and dirty. I looked across the wire at the Austrian lines. Nobody was in sight. I had a drink with a captain that I knew in one of the dugouts and went back across the bridge.",none
A farewell to arms,"Crossing the field, I did not know but that some one would fire on us from the trees near the farmhouse or from the farmhouse itself. I walked toward it, seeing it very clearly. The balcony of the second floor merged into the barn and there was hay coming out between the columns. The courtyard was of stone blocks and all the trees were dripping with the rain. There was a big empty two-wheeled cart, the shafts tipped high up in the rain. I came to the courtyard, crossed it, and stood under the shelter of the balcony. The door of the house was open and I went in. Bonello and Piani came in after me. It was dark inside. I went back to the kitchen. There were ashes of a fire on the big open hearth. The pots hung over the ashes, but they were empty. I looked around but I could not find anything to eat.",none
A farewell to arms,I pulled out into the lake. If we were that close to the border I did not want to be hailed by a sentry along the road. I stayed out where I could just see the shore and rowed on for three-quarters of an hour in the rain. We heard a motor boat once more but I kept quiet until the noise of the engine went away across the lake.,none
A farewell to arms,"You did not love the floor of a flat-car nor guns with canvas jackets and the smell of vaselined metal or a canvas that rain leaked through, although it is very fine under a canvas and pleasant with guns; but you loved some one else whom now you knew was not even to be pretended there; you seeing now very clearly and coldly—not so coldly as clearly and emptily. You saw emptily, lying on your stomach, having been present when one army moved back and another came forward. You had lost your cars and your men as a floorwalker loses the stock of his department in a fire. There was, however, no insurance. You were out of it now. You had no more obligation. If they shot floorwalkers after a fire in the department store because they spoke with an accent they had always had, then certainly the floorwalkers would not be expected to return when the store opened again for business. They might seek other employment; if there was any other employment and the police did not get them.",low
A farewell to arms,"When they lifted you up out of bed to carry you into the dressing room you could look out of the window and see the new graves in the garden. A soldier sat outside the door that opened onto the garden making crosses and painting on them the names, rank, and regiment of the men who were buried in the garden. He also ran errands for the ward and in his spare time made me a cigarette lighter out of an empty Austrian rifle cartridge. The doctors were very nice and seemed very capable. They were anxious to ship me to Milan where there were better X-ray facilities and where, after the operation, I could take mechano-therapy. I wanted to go to Milan too. They wanted to get us all out and back as far as possible because all the beds were needed for the offensive, when it should start.",low
A farewell to arms,"“For Christ’s sweet sake take me to some room.” The pain had gone on and on with the legs bent and I could feel it going in and out of the bone. The porter went in the door, followed by the gray-haired woman, then came hurrying back. “Follow me,” he said. They carried me down a long hallway and into a room with drawn blinds. It smelled of new furniture. There was a bed and a big wardrobe with a mirror. They laid me down on the bed.",high
A farewell to arms,The wind rose in the night and at three o’clock in the morning with the rain coming in sheets there was a bombardment and the Croatians came over across the mountain meadows and through patches of woods and into the front line. They fought in the dark in the rain and a counter-attack of scared men from the second line drove them back. There was much shelling and many rockets in the rain and machine-gun and rifle fire all along the line. They did not come again and it was quieter and between the gusts of wind and rain we could hear the sound of a great bombardment far to the north.,none
A farewell to arms,"“Come on,” I said. “Get in.” The two girls climbed in and sat in the corner. They seemed to have taken no notice of the shooting. I looked back up the road. The sergeant lay in his dirty long-sleeved underwear. I got up with Piani and we started. We were going to try to cross the field. When the road entered the field I got down and walked ahead. If we could get across, there was a road on the other side. We could not get across. It was too soft and muddy for the cars. When they were finally and completely stalled, the wheels dug in to the hubs, we left them in the field and started on foot for Udine.",none
A farewell to arms,"“Come come,” he said. “Don’t be a bloody hero.” Then in Italian: “Lift him very carefully about the legs. His legs are very painful. He is the legitimate son of President Wilson.” They picked me up and took me into the dressing room. Inside they were operating on all the tables. The little major looked at us furious. He recognized me and waved a forceps.",none
A farewell to arms,"“What’s that?” Catherine said. I rested on the oars and listened. It was a motor boat chugging out on the lake. I pulled close up to the shore and lay quiet. The chugging came closer; then we saw the motor boat in the rain a little astern of us. There were four _guardia_ _di finanza_ in the stern, their _alpini_ hats pulled down, their cape collars turned up and their carbines slung across their backs. They all looked sleepy so early in the morning. I could see the yellow on their hats and the yellow marks on their cape collars. The motor boat chugged on and out of sight in the rain.",none
A farewell to arms,"I dropped off the train in Milan as it slowed to come into the station early in the morning before it was light. I crossed the track and came out between some buildings and down onto the street. A wine shop was open and I went in for some coffee. It smelled of early morning, of swept dust, spoons in coffee-glasses and the wet circles left by wine-glasses. The proprietor was behind the bar. Two soldiers sat at a table. I stood at the bar and drank a glass of coffee and ate a piece of bread. The coffee was gray with milk, and I skimmed the milk scum off the top with a piece of bread. The proprietor looked at me.",none
A farewell to arms,"“I’ll write about coming,” I said. We packed and left on the train that went down after lunch. Mr. and Mrs. Guttingen came down to the station with us and he hauled our baggage down on a sled through the slush. They stood beside the station in the rain waving good-by.",none
A farewell to arms,"Poor, poor dear Cat. And this was the price you paid for sleeping together. This was the end of the trap. This was what people got for loving each other. Thank God for gas, anyway. What must it have been like before there were anæsthetics? Once it started, they were in the mill-race. Catherine had a good time in the time of pregnancy. It wasn’t bad. She was hardly ever sick. She was not awfully uncomfortable until toward the last. So now they got her in the end. You never got away with anything. Get away hell! It would have been the same if we had been married fifty times. And what if she should die? She won’t die. People don’t die in childbirth nowadays. That was what all husbands thought. Yes, but what if she should die? She won’t die. She’s just having a bad time. The initial labor is usually protracted. She’s only having a bad time. Afterward we’d say what a bad time and Catherine would say it wasn’t really so bad. But what if she should die? She can’t die. Yes, but what if she should die? She can’t, I tell you. Don’t be a fool. It’s just a bad time. It’s just nature giving her hell. It’s only the first labor, which is almost always protracted. Yes, but what if she should die? She can’t die. Why would she die? What reason is there for her to die? There’s just a child that has to be born, the by-product of good nights in Milan. It makes trouble and is born and then you look after it and get fond of it maybe. But what if she should die? She won’t die. But what if she should die? She won’t. She’s all right. But what if she should die? She can’t die. But what if she should die? Hey, what about that? What if she should die?",high
A farewell to arms,"The X-ray was taken at the Ospedale Maggiore and the doctor who did it was excitable, efficient and cheerful. It was arranged by holding up the shoulders, that the patient should see personally some of the larger foreign bodies through the machine. The plates were to be sent over. The doctor requested me to write in his pocket notebook, my name, and regiment and some sentiment. He declared that the foreign bodies were ugly, nasty, brutal. The Austrians were sons of bitches. How many had I killed? I had not killed any but I was anxious to please—and I said I had killed plenty. Miss Gage was with me and the doctor put his arm around her and said she was more beautiful than Cleopatra. Did she understand that? Cleopatra the former queen of Egypt. Yes, by God she was. We returned to the little hospital in the ambulance and after a while and much lifting I was upstairs and in bed again. The plates came that afternoon, the doctor had said by God he would have them that afternoon and he did. Catherine Barkley showed them to me. They were in red envelopes and she took them out of the envelopes and held them up to the light and we both looked.",high
A farewell to arms,"“I know it,” Catherine said. “But you shouldn’t say it.” Then “_Give it to me. Give it to me._” She clutched hold of the mask and breathed short and deep, pantingly, making the respirator click. Then she gave a long sigh and the doctor reached with his left hand and lifted away the mask.",none
A farewell to arms,I went out the door and down the hall to the room where Catherine was to be after the baby came. I sat in a chair there and looked at the room. I had the paper in my coat that I had bought when I went out for lunch and I read it. It was beginning to be dark outside and I turned the light on to read. After a while I stopped reading and turned off the light and watched it get dark outside. I wondered why the doctor did not send for me. Maybe it was better I was away. He probably wanted me away for a while. I looked at my watch. If he did not send for me in ten minutes I would go down anyway.,high
A farewell to arms,"It was bright sunlight in the room when I woke. I thought I was back at the front and stretched out in bed. My legs hurt me and I looked down at them still in the dirty bandages, and seeing them knew where I was. I reached up for the bell-cord and pushed the button. I heard it buzz down the hall and then some one coming on rubber soles along the hall. It was Miss Gage and she looked a little older in the bright sunlight and not so pretty.",low
A farewell to arms,"When daylight came the storm was still blowing but the snow had stopped. It had melted as it fell on the wet ground and now it was raining again. There was another attack just after daylight but it was unsuccessful. We expected an attack all day but it did not come until the sun was going down. The bombardment started to the south below the long wooded ridge where the Austrian guns were concentrated. We expected a bombardment but it did not come. It was getting dark. Guns were firing from the field behind the village and the shells, going away, had a comfortable sound.",none
A farewell to arms,"“It has been a terrible summer,” said the priest. He was surer of himself now than when I had gone away. “You cannot believe how it has been. Except that you have been there and you know how it can be. Many people have realized the war this summer. Officers whom I thought could never realize it realize it now.”",low
A farewell to arms,The villa was empty. Rinaldi was gone with the hospital. The major was gone taking hospital personnel in the staff car. There was a note on the window for me to fill the cars with the material piled in the hall and to proceed to Pordenone. The mechanics were gone already. I went out back to the garage. The other two cars came in while I was there and their drivers got down. It was starting to rain again.,none
